Year,Episode,EpID,Actor,Character,FirstName,LastName
1,1,1.1,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,2,1.2,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,2,1.2,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,3,1.3,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,4,1.4,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,5,1.5,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,6,1.6,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,7,1.7,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,8,1.8,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,9,1.9,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,10,1.1,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,11,1.11,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,12,1.12,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,13,1.13,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,14,1.14,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,15,1.15,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,16,1.16,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,17,1.17,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,18,1.18,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,19,1.19,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,20,1.2,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,22,1.22,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,23,1.23,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,24,1.24,Alan Alda,Captain Benjamin Franklin Pierce,Alan,Alda
1,20,1.2,Alan Manson,Colonel Hersh,Alan,Manson
1,18,1.18,Alex Henteloff,Captain Casey,Alex,Henteloff
1,13,1.13,Arlene Golonka,Nurse Edwina 'Eddie' Ferguson,Arlene,Golonka
1,5,1.5,Barbara Brownell,Lt. Jones,Barbara,Brownell
1,14,1.14,Barbara Brownell,Lt. Jones,Barbara,Brownell
1,6,1.6,Bert Kramer,Sgt. Martin,Bert,Kramer
1,9,1.9,Bill Svanoe,Aide,Bill,Svanoe
1,8,1.8,Billy Green Bush,John 'Cowboy' Hodges,Billy,Green Bush
1,20,1.2,Bobbie Mitchell,Nurse Mason,Bobbie,Mitchell
1,2,1.2,Bonnie Jones,Lt. Barbara Bannerman ,Bonnie,Jones
1,10,1.1,Bonnie Jones,Lt. Barbara Bannerman,Bonnie,Jones
1,12,1.12,Bonnie Jones,Lt. Barbara Bannerman,Bonnie,Jones
1,23,1.23,Bonnie Jones,Lt. Barbara Bannerman,Bonnie,Jones
1,23,1.23,Bruce Kimmel,Private Gilbert,Bruce,Kimmel
1,1,1.1,Bruno Kirby,Pvt. Lorenzo Boone,Bruno,Kirby
1,12,1.12,Buck Young,M.P.,Buck,Young
1,11,1.11,Byron Chung,P.O.W.,Byron,Chung
1,15,1.15,Captain Tuttle,Himself,Captain,Tuttle
1,17,1.17,Chuck Hicks,Patient #2,Chuck,Hicks
1,5,1.5,Craig Jue,Benny,Craig,Jue
1,15,1.15,Dennis Fimple,Sergeant 'Sparky' Pryor,Dennis,Fimple
1,6,1.6,Ed Flanders,Lt. Dwayne Bricker,Ed,Flanders
1,17,1.17,Fred Lerner,Patient #1,Fred,Lerner
1,1,1.1,G. Wood,Brig. Gen. Charlie Hammond,G.,Wood
1,2,1.2,G. Wood,Brig. Gen. Charlie Hammond,G.,Wood
1,9,1.9,G. Wood,Brig. Gen. Charlie Hammond,G.,Wood
1,18,1.18,Gail Bowman,Nurse Powell,Gail,Bowman
1,1,1.1,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,2,1.2,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,2,1.2,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,3,1.3,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,4,1.4,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,5,1.5,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,6,1.6,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,7,1.7,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,8,1.8,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,9,1.9,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,10,1.1,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,11,1.11,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,12,1.12,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,13,1.13,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,14,1.14,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,15,1.15,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,16,1.16,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,17,1.17,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,18,1.18,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,19,1.19,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,20,1.2,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,22,1.22,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,23,1.23,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,24,1.24,Gary Burghoff,Corporal Walter Eugene O'Reilly,Gary,Burghoff
1,12,1.12,Gary Van Ormand,Corporal,Gary,Van Ormand
1,1,1.1,George Morgan,Lt. Father Francis John Patrick Mulcahy,George,Morgan
1,22,1.22,Harvey J. Goldenberg,Kaplan,Harvey ,Goldenberg
1,24,1.24,Harvey J. Goldenberg,Kaplan,Harvey,Goldenberg
1,6,1.6,Herb Voland,Gen. Crandell Clayton,Herb,Voland
1,15,1.15,Herb Voland,Gen. Crandell Clayton,Herb,Voland
1,23,1.23,Herb Voland,Gen. Crandell Clayton,Herb,Voland
1,4,1.4,Jack Riley,Capt. Kaplan,Jack,Riley
1,2,1.2,Jack Soo,Charlie Lee,Jack,Soo
1,15,1.15,James Sikking,Finance Officer,James,Sikking
1,17,1.17,James T. Callahan,Tommy Gillis ,James,Callahan
1,4,1.4,Jamie Farr,Maxwell Klinger,Jamie,Farr
1,12,1.12,Jamie Farr,Maxwell Klinger,Jamie,Farr
1,18,1.18,Jamie Farr,Maxwell Klinger,Jamie,Farr
1,19,1.19,Jamie Farr,Maxwell Klinger,Jamie,Farr
1,20,1.2,Jamie Farr,Maxwell Klinger,Jamie,Farr
1,23,1.23,Jamie Farr,Maxwell Klinger,Jamie,Farr
1,9,1.9,Jean Pleet,Nurse,Jean,Pleet
1,8,1.8,Jean Powell,Nurse Baker,Jean,Powell
1,24,1.24,Jean Turrell,Miller Sister,Jean,Turrell
1,14,1.14,Jerry Harper,Sergeant,Jerry,Harper
1,24,1.24,Joan Lucksinger,Miller Sister,Joan,Lucksinger
1,8,1.8,Joe Corey,Goldstein,Joe,Corey
1,24,1.24,Joey Forman,Jackie Flash,Joey,Forman
1,20,1.2,John A. Zee,Commander Sturner,John,Zee
1,2,1.2,John C. Johnson,Truck Driver,John,Johnson
1,1,1.1,John Orchard,Capt. 'Ugly John' Black,John,Orchard
1,2,1.2,John Orchard,Capt. 'Ugly John' Black,John,Orchard
1,3,1.3,John Orchard,Capt. 'Ugly John' Black,John,Orchard
1,4,1.4,John Orchard,Capt. 'Ugly John' Black,John,Orchard
1,5,1.5,John Orchard,Capt. 'Ugly John' Black,John,Orchard
1,8,1.8,John Orchard,Capt. 'Ugly John' Black,John,Orchard
1,9,1.9,John Orchard,Capt. 'Ugly John' Black,John,Orchard
1,20,1.2,John Orchard,Capt. 'Ugly John' Black,John,Orchard
1,24,1.24,John Orchard,Capt. 'Ugly John' Black,John,Orchard
1,19,1.19,Joseph V. Perry,The Cook (as Joseph Perry),Joseph,Perry
1,1,1.1,Karen Philipp,Lt. Maria 'Dish' Schneider,Karen,Philipp
1,11,1.11,Karen Philipp,Lt. Maria 'Dish' Schneider,Karen,Philipp
1,9,1.9,Kasuko Sakuro,Cho-Cho,Kasuko,Sakuro
1,19,1.19,Kathleen King,Nurse Beddoes,Kathleen,King
1,14,1.14,Kelly Jean Peters,Lt. Louise Anderson,Kelly,Peters
1,1,1.1,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,2,1.2,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,2,1.2,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,3,1.3,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,4,1.4,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,5,1.5,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,6,1.6,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,7,1.7,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,8,1.8,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,9,1.9,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,10,1.1,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,11,1.11,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,12,1.12,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,13,1.13,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,14,1.14,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,15,1.15,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,16,1.16,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,17,1.17,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,18,1.18,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,19,1.19,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,20,1.2,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,22,1.22,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,23,1.23,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,24,1.24,Larry Linville,Major Franklin Marion Burns,Larry,Linville
1,1,1.1,Laura Miller,Knocko,Laura,Miller
1,16,1.16,Leslie Nielsen,Col. Buzz Brighton,Leslie,Nielsen
1,1,1.1,Linda Meiklejohn,Lt. Leslie Scorch,Linda,Meiklejohn
1,4,1.4,Linda Meiklejohn,Lt. Leslie Scorch,Linda,Meiklejohn
1,5,1.5,Linda Meiklejohn,Lt. Leslie Scorch,Linda,Meiklejohn
1,9,1.9,Linda Meiklejohn,Lt. Leslie Scorch,Linda,Meiklejohn
1,10,1.1,Linda Meiklejohn,Lt. Leslie Scorch,Linda,Meiklejohn
1,13,1.13,Linda Meiklejohn,Lt. Leslie Scorch,Linda,Meiklejohn
1,16,1.16,Linda Meiklejohn,Lt. Leslie Scorch,Linda,Meiklejohn
1,12,1.12,Lizabeth Deen,Becky,Lizabeth,Deen
1,1,1.1,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,2,1.2,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,2,1.2,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,3,1.3,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,4,1.4,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,5,1.5,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,6,1.6,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,7,1.7,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,8,1.8,Loretta Swit,Major Margaret Houlihan ,Loretta,Swit
1,9,1.9,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,10,1.1,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,11,1.11,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,12,1.12,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,13,1.13,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,14,1.14,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,15,1.15,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,16,1.16,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,17,1.17,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,18,1.18,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,19,1.19,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,20,1.2,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,22,1.22,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,23,1.23,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,24,1.24,Loretta Swit,Major Margaret Houlihan,Loretta,Swit
1,2,1.2,Lynette Mettey,Lt. Nancy Griffin,Lynette,Mettey
1,17,1.17,Lynette Mettey,Lt. Nancy Griffin ,Lynette,Mettey
1,23,1.23,Lynette Mettey,Lt. Nancy Griffin ,Lynette,Mettey
1,3,1.3,Marcia Strassman,Nurse Margie Cutler,Marcia,Strassman
1,6,1.6,Marcia Strassman,Nurse Margie Cutler,Marcia,Strassman
1,7,1.7,Marcia Strassman,Nurse Margie Cutler,Marcia,Strassman
1,13,1.13,Marcia Strassman,Nurse Margie Cutler,Marcia,Strassman
1,14,1.14,Marcia Strassman,Nurse Margie Cutler,Marcia,Strassman
1,23,1.23,Marcia Strassman,Nurse Margie Cutler,Marcia,Strassman
1,24,1.24,Marilyn King,Miller Sister,Marilyn,King
1,15,1.15,Mary-Robin Redd,Sister Theresa ,Mary-Robin,Redd
1,1,1.1,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,2,1.2,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,2,1.2,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,3,1.3,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,4,1.4,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,5,1.5,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,6,1.6,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,7,1.7,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,8,1.8,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,9,1.9,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,10,1.1,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,11,1.11,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,12,1.12,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,13,1.13,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,14,1.14,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,15,1.15,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,16,1.16,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,17,1.17,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,18,1.18,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,19,1.19,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,20,1.2,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,22,1.22,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,23,1.23,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,24,1.24,McLean Stevenson,Lt. Colonel Henry Blake,McLean,Stevenson
1,8,1.8,Mike Robelo,Cook,Mike,Robelo
1,9,1.9,Noel Toy,Mama San,Noel,Toy
1,1,1.1,Odessa Cleveland,Lt. Ginger Bayliss,Odessa,Cleveland
1,2,1.2,Odessa Cleveland,Lt. Ginger Bayliss,Odessa,Cleveland
1,4,1.4,Odessa Cleveland,Lt. Ginger Bayliss,Odessa,Cleveland
1,7,1.7,Odessa Cleveland,Lt. Ginger Bayliss,Odessa,Cleveland
1,9,1.9,Odessa Cleveland,Lt. Ginger Bayliss,Odessa,Cleveland
1,10,1.1,Odessa Cleveland,Lt. Ginger Bayliss,Odessa,Cleveland
