ep_year,ep_num,episode,title,air_date,synopsis
1,1,101,M*A*S*H - The Pilot,"September 17, 1972","In the hilarious first episode, Hawkeye and Trapper throw a party to raise money to send Ho-Jon, their houseboy, back to the states to attend college. In order to raise the amount needed they hold a raffle. The prize? A weekend in Tokyo with Lt. Dish. Of course, Frank and Margaret are against this and they call in General Hammond to back them up."
1,2,102,"To Market, To Market","September 24, 1972","Hawkeye and Trapper, desperate to find hydrocortisone that the 4077th needs, theirs was hijacked by black marketers, find a Korean black-marketers willing to trade them some, in return for something expensive. What do Hawkeye and Trapper end up trading? An oak desk of Henry's, that he is rather fond of. In order to get it out of his office, they take down a wall and bring in a chopper."
1,3,103,Requiem for A Lightweight,"October 1, 1972","In order to keep Henry from getting rid of one of their favorite nurses, who Margaret is fed up with, Trapper agrees to box in a tournament, held at the 4077th. It takes Hawkeye a while to get him to agree, but Trapper was a pretty good boxer in high school, and the nurse is really quite pretty. Things get a little rough on Trapper, but Hawkeye is able to even out the odds."
1,4,104,Chief Surgeon Who?,"October 8, 1972","In the episode that marks Klinger's first appearance, Frank, outraged that Hawkeye, who he considers a less-than-able military man, is given the position of chief surgeon at the 4077th, goes over Henry's head, again. Along with Margaret he sends of a general to come and check things out. However, his visit doesn't go quite as Frank had hoped. After the general arrives, he not only meets Klinger, but is awed by Hawkeye's talents."
1,5,105,The Moose,"October 15, 1972","Hawkeye's world is turned upside after he wins a 'moose', a Korean girl who acts as a servant, from another man in a poker game. Hawkeye and the rest of the Swamp-mates try to get her to see that she can be free, but being a servant has been bred into her since early on. When her much younger brother comes to pick her up, Hawkeye is stunned at how the boy acts."
1,6,106,Yankee Doodle Doctor,"October 22, 1972","Hawkeye, Trapper, and Radar put together a film to show how things really work at the 4077th, after the film commissioned by a general turns out to be a farce. In their film, Hawkeye dons a suit and floppy shoes, Radar gets operated on, and Trapper has a horn."
1,7,107,"Bananas, Crackers, and Nuts","November 5, 1972","Hawkeye decides to go insane for a while after his request for some R&R is turned down. A psychiatrist (not Sidney), is called for to observe him, and Hawkeye poses many problems for the poor doctor."
1,8,108,Cowboy,"November 12, 1972","An outraged chopper pilot known as The Cowboy kidnaps Henry, who just received a Dear John letter. Henry won't allow the pilot leave to go home and straighten things out, so the pilot decides his only course of action is to take Henry's life, and the best way to do that is with a chopper."
1,9,109,"Henry, Please Come Home","November 19, 1972","After the camp is happy to hear that they've achieved the highest survival rate of any M*A*S*H unit, they are less thrilled when Henry is given a desk job in Tokyo, leaving Frank in charge. Unable to cope with Frank's military strictness, Hawkeye and Trapper come up with a plan to bring Henry back where he belongs. All it involves is two passes to Tokyo, a telephone call from a nurse, and Radar faking an illness."
1,10,110,I Hate A Mystery,"November 26, 1972","There has been a rash of petty thefts at the 4077th, and Hawkeye is bewildered to find himself the prime suspect. He decides the only way to clear his name is to find the real thief, and the only way to do that is for Hawkeye to turn into a detective. (The real culprit is Ho-Jon)."
